60,Annotated lecture slides for introducing patterns,Patterns.ppt,111,0,0,-1
2,Teaching tips for the ISE1 module                                                                                                                                                                       ,ise1-teaching.doc                                                                                                                                                                                       ,78,0,0,-1
61,Sample exercises,dpat1-exercise.pdf,111,0,0,-1
5,OSE1 exercise booklet,ise1-exercise.doc,78,0,0,-1
6,Key to OSE1 exercise,ise1-exercise-key.doc,78,0,0,-1
56,Teaching tips,req01-teaching.htm,77,0,0,-1
58,Exercise,req01-exercise.htm,77,0,0,-1
59,Exercise key,req01-exercise-key.htm,77,0,0,-1
62,Instructor tips,QUA1 Instructor Tips.doc,80,0,0,-1
63,Exercise,QUA1 Exercise.doc,80,0,0,-1
64,Presentation slides,QUA1 Presentation.ppt,80,0,0,-1
73,SEP1 lecture notes,sep1-lecture.ppt,84,0,0,-1
74,SEP1 lecture notes,sep1-lecture.pdf,84,0,0,-1
75,SEP1 exercise booklet,sep1-exercise.doc,84,0,0,-1
76,SEP1 exercise booklet,sep1-exercise.pdf,84,0,0,-1
77,Key to SEP1exercise,sep1-exercise-key.doc,84,0,0,-1
78,Key to SEP1exercise,sep1-exercise-key.pdf,84,0,0,-1
79,Teaching tips for the SEP1 module,sep1-teaching.doc,84,0,0,-1
80,Teaching tips for the SEP1 module,sep1-teaching.pdf,84,0,0,-1
81,Instructions to students,COEN 286 Code Inspection Exercise.htm,85,0,0,-1
82,Inspection Checklist,COEN 286 Code Inspection Checklist.htm,85,0,0,-1
83,Listing of code for students to review,code-listing.txt,85,0,0,-1
84,REQ3 Lecture Notes,req3-lecture.ppt,86,0,0,-1
85,REQ3 Lecture Notes,req3-lecture.pdf,86,0,0,-1
86,REQ3 Exercise,req3-exercise.doc,86,0,0,-1
87,REQ3 Exercise,req3-exercise.pdf,86,0,0,-1
88,REQ3 Exercise Key,req3-exercise-key.doc,86,0,0,-1
89,Req3 Exercise Key,req3-exercise-key.pdf,86,0,0,-1
90,REQ3 Teaching Tips,req3-teaching.doc,86,0,0,-1
91,OSE2 Lecture Notes,ose2-lecture.ppt,87,0,0,-1
92,OSE Lecture Notes,ose2-lecture.pdf,87,0,0,-1
97,OSE3 lecture notes,ose3-lecture.ppt,91,0,0,-1
98,OSE3 lecture notes,ose3-lecture.pdf,91,0,0,-1
99,OSE3 Case Study Exercise,ethics-exercise.doc,91,0,0,-1
100,OSE3 Case Study Exercise,ethics-exercise.pdf,91,0,0,-1
101,OSE3 Case Studies,ethics-cases.doc,91,0,0,-1
102,OSE3 Case Studies,ethics-cases.pdf,91,0,0,-1
103,Teaching tips for the OSE3 module,ose3-teaching.doc,91,0,0,-1
104,Teaching tips for the OSE3 module,ose3-teaching.pdf,91,0,0,-1
105,Informal specification exercise,req01-exercise.html,77,0,0,-1
106,Teaching tips,req01-teaching.html,77,0,0,-1
107,Key to informal specification exercise,req01-exercise-key.html,77,0,0,-1
108,Test,NewFile.aspx,0,0,0,-1
109,asdfasdf,Apache vs. IIS.doc,0,0,0,-1
117,PRO2 lecture notes,PRO2-lecture.ppt,106,0,0,-1
118,PRO2 lecture notes,PRO2-lecture.pdf,106,0,0,-1
119,PRO2 exercise booklet,PRO2-exercise.doc,106,0,0,-1
120,PRO2 exercise booklet,PRO2-exercise.pdf,106,0,0,-1
121,PRO2 exercise solution,PRO2-exercise-sol.doc,106,0,0,-1
122,PRO2 exercise solution,PRO2-exercise-sol.pdf,106,0,0,-1
123,Teaching tips for the PRO2 module,PRO2-teaching.doc,106,0,0,-1
124,Index of the module,Badawy.htm,109,0,0,-1
126,Organization,BadawyOrganization.htm,109,0,0,-1
127,Planning and Decision Making,BadawyPlanningandDecisionMaking.htm,109,0,0,-1
128,Controlling and Evaluating,BadawyControllingandEvaluating.htm,109,0,0,-1
129,Lecture notes,SEprofession-lecture.ppt,110,0,0,-1
130,Lecture notes,SEprofession-lecture.pdf,110,0,0,-1
131,Ariane 5 Accident video,ariane.mov,110,0,0,-1
132,Ariane 5 Case Study Exercise,Ariane5exercise.doc,110,0,0,-1
133,Ariane 5 Case Study Exercise,Ariane5exercise.pdf,110,0,0,-1
134,Teaching tips,SEprofession-teaching.doc,110,0,0,-1
135,Sample assessment exercises (long version),dpat1-assessment.pdf,111,0,0,-1
136,test,test file.doc,0,0,0,-1
137,test,test file.doc,0,0,0,-1
138,Lecture Notes,UnitTesting-lecture.ppt,125,0,0,-1
139,Unit Test Planning Exercise,UnitTesting-exercise.doc,125,0,0,-1
140,KEY for Unit Test Planning Exercise,UnitTesting-exercise-key.doc,125,0,0,-1
141,Teaching Tips,Unit-Testing-teaching.doc,125,0,0,-1
142,Teaching tips for the REQ02 module,req02-teaching.htm,83,0,0,-1
144,Skeleton Z model file,Elev03skeleton.tex,83,0,0,-1
145,Sample soluton Z model file,Elev05.tex,83,0,0,-1
146,Informal specification exercise,req01-exercise.html,104,0,0,-1
147,Teaching tips,req01-teaching.html,104,0,0,-1
148,Key to informal specification exercise,req01-exercise-key.html,104,0,0,-1
149,Informal specification exercise,req01-exercise.html,104,0,0,-1
150,Teaching tips,req01-teaching.html,104,0,0,-1
151,Key to informal specification exercise,req01-exercise-key.html,104,0,0,-1
152,Teaching tips for the REQ02 module,req02-teaching.htm,83,0,0,-1
153,REQ02 exercise,req02-exercise.htm,83,0,0,-1
154,Skeleton Z model file,Elev03skeleton.tex,83,0,0,-1
155,Sample soluton Z model file,Elev05.tex,83,0,0,-1
156,Teaching tips,SimpleFormalModeling-teaching.html,116,0,0,-1
157,Exercise,SimpleFormalModeling-exercise.html,116,0,0,-1
158,Skeleton Z model file,Elev03skeleton.tex,83,0,0,-1
159,Sample soluton Z model file,Elev05.tex,83,0,0,-1
160,asdfasdf,Apache vs. IIS.doc,0,0,0,-1
161,Lecture notes,SEprofession-lecture.ppt,110,0,0,-1
162,Lecture notes,SEprofession-lecture.pdf,110,0,0,-1
163,Ariane 5 Accident video,ariane.mov,110,0,0,-1
164,Ariane 5 Case Study Exercise,Ariane5exercise.doc,110,0,0,-1
165,Ariane 5 Case Study Exercise,Ariane5exercise.pdf,110,0,0,-1
166,Teaching tips,SEprofession-teaching.doc,110,0,0,-1
167,Lecture notes,SEprofession-lecture.ppt,110,0,0,-1
168,Lecture notes,SEprofession-lecture.pdf,110,0,0,-1
169,Ariane 5 Accident video,ariane.mov,110,0,0,-1
170,Ariane 5 Case Study Exercise,Ariane5exercise.doc,110,0,0,-1
171,Ariane 5 Case Study Exercise,Ariane5exercise.pdf,110,0,0,-1
65,Instructor tips,QUA2 Instructor Tips.doc,82,0,0,-1
66,Exercise,QUA2 Exercise.doc,82,0,0,-1
67,Presentation slides - Overview,QUA2 Slides - Overview.ppt,82,0,0,-1
68,Presentation slides - FTR,QUA2 Slides - FTR.ppt,82,0,0,-1
69,Teaching tips for the REQ02 module,req02-teaching.htm,83,0,0,-1
70,REQ02 exercise,req02-exercise.htm,83,0,0,-1
71,Skeleton Z model file,Elev03skeleton.tex,83,0,0,-1
72,Sample soluton Z model file,Elev05.tex,83,0,0,-1
125,Overview of Management,BadawyOverviewOfManagement.htm,109,0,0,-1
143,REQ02 exercise,req02-exercise.htm,104,0,0,-1
172,Teaching tips,SEprofession-teaching.doc,110,0,0,-1
173,Lecture notes,SEprofession-lecture.ppt,110,0,0,-1
179,Lecture notes,SEprofession-lecture.ppt,110,0,0,-1
180,Lecture notes,SEprofession-lecture.pdf,110,0,0,-1
181,Ariane 5 Accident video,ariane.mov,110,0,0,-1
182,Ariane 5 Case Study Exercise,Ariane5exercise.doc,110,0,0,-1
183,Ariane 5 Case Study Exercise,Ariane5exercise.pdf,110,0,0,-1
184,Teaching tips,SEprofession-teaching.doc,110,0,0,-1
185,Lecture notes,SEprofession-lecture.ppt,110,0,0,-1
186,Lecture notes,SEprofession-lecture.pdf,110,0,0,-1
187,Ariane 5 Accident video,ariane.mov,110,0,0,-1
188,Ariane 5 Case Study Exercise,Ariane5exercise.doc,110,0,0,-1
189,Ariane 5 Case Study Exercise,Ariane5exercise.pdf,110,0,0,-1
190,Teaching tips,SEprofession-teaching.doc,110,0,0,-1
