78,"http://www.sei.cmu.edu/about/overview/whatis.html","http://www.sei.cmu.edu/about/overview/whatis.html",1
78,"http://www.omse.org/whatis.htm","http://www.omse.org/whatis.htm",2
78,"http://www.gamasutra.com/features/19991216/mcconnell_pfv.htm","http://www.gamasutra.com/features/19991216/mcconnell_pfv.htm",3
78,"http://www.bls.gov/oco/ocos267.htm","http://www.bls.gov/oco/ocos267.htm",4
78,"http://www.swebok.org/","http://www.swebok.org/",5
78,"Gibbs, W. �Software�s Chronic Crisis.� Scientific American 271, 3 (September 1994): 86-95.",,6
78,"Bourque P. and Dupuis R., eds. Guide to the Software Engineering Body of Knowledge, IEEE CS Press, Los Alamitos, Calif., 2001.",,7
79,"Gamma, E., Helm, R., Johnson, R., and Vlissides, J. Design Patterns: Elements of Reusable Object-Oriented Software. Addison-Wesley, 1994.",,1
79,"Buschmann, F., Meunier, R., Rohnert, H., Sommerlad, P., Stal, M. Pattern-Oriented Software Architecture. John Wiley & Sons, 1996.",,2
79,"Schmidt, D., Stal, M., Rohnert, H., Buschmann, F. Pattern-Oriented Software Architecture (Vol. 2). John Wiley & Sons, 2000.",,3
79,"Grand, M. Patterns in Java. John Wiley & Sons, 1998.",,4
79,"Shalloway, A., and Trott, J. Design Patterns Explained. Addison-Wesley, 2002.",,5
79,Hillside Patterns Group Home Page,"http://hillside.net/patterns",6
79,Design Patterns Wiki Web,"http://c2.com/cgi/wiki?DesignPatterns",7
80,"""Boehm, B.W., J.R. Brown, and M. Lipow. Quantitative Evaluation of Software Quality  Proceedings, 2nd International Conference on Software Engineering, 13-15 October 1976. Long Beach, CA: IEEE Computer Society, 1976, pp. 592-605.""",,1
80,"""Cavano, Joseph P. and James A. McCall. A Framework for the Measurement of Software Quality. Proceedings of the Software Quality and Assurance Workshop. Los Angeles CA: ACM Special Interest Group on  Measurement and Evaluation Nov. 1978  pp. 133-139.""",,2
80,"""Dromey, R. Geoff. A Model for Software Product Quality  IEEE Transactions on Software Engineering, Feb. 1995, pp. 146-62.""",,3
80,"""Glass, Robert L. Building Quality Software"" Englewood Cliffs: Prentice Hall  Inc. 1992.""",,4
80,"Pressman, Roger S. Software Engineering"," ""A Practitioner's Approach 4th ed. McGraw Hill  Inc. 1997.""",5
82,"Ebenau, Robert G. and Susan H. Strauss. Software Inspection Process"". New York: McGraw-Hill. 1994.""",,1
82,"Freedman, Daniel P. and Gerald M. Weinberg. Handbook of Walkthroughs  Inspections  and Technical Reviews  3rd ed.  New York: Dorset House. 1990.",,2
82,"Gilb, Tom. & Dorothy Graham. Software Inspection. Addison-Wesley. 1994.",,3
82,"""Grady, Robert B. Practical Software Metrics for Project Management and Process Improvement. Englewood Cliffs: Prentice Hall. 1992.""",,4
82,"""Pressman, Roger S. Software Engineering  A Practitioner's Approach. 4th ed. McGraw Hill  Inc. 1997.""",,5
83,"""Jacky J.. The Way of Z: Practical Programming with Formal Methods, Cambridge University Press, 1997.""",,1
83,"""Diller A.. Z: An Introduction to Formal Methods, Second Edition, John Wiley & Sons, 1994.""",,2
83,Z/EVES syntax checker and theorem prover,"http://www.ora.on.ca/z-eves/",3
83,SWEBOK,http://www.swebok.org/,4
