66,admin,1
135,almstrum,1
148,almstrum,2
151,almstrum,2
177,almstrum,2
178,almstrum,1
142,bagert,1
153,bagert,1
153,burrise,2
123,changliu,1
147,changliu,1
149,changliu,1
161,changliu,1
150,chaw,2
130,chenoweth,1
131,chenoweth,1
133,chenoweth,1
149,chenoweth,3
143,damsabum,3
153,davec,3
176,davec,1
150,dsanders44,4
126,frezza001,1
144,frezza001,2
145,frezza001,1
146,frezza001,2
157,frezza001,1
158,frezza001,2
163,frezza001,2
164,frezza001,1
165,frezza001,1
136,hankley,1
167,hankley,3
167,HeidiEllis,2
80,hislop,1
82,hislop,1
138,jvallino,1
139,jvallino,1
167,jvallino,1
148,markardis,1
151,markardis,1
177,markardis,1
127,mbattig,1
159,mbattig,1
109,mengel,1
79,mlutz,1
111,mmccracken,1
85,noll,1
144,pgrabow,1
145,pgrabow,2
146,pgrabow,1
157,pgrabow,2
158,pgrabow,1
162,pgrabow,1
163,pgrabow,1
164,pgrabow,2
165,pgrabow,2
166,pgrabow,1
188,pkb7639,1
51,pmm1626,1
53,pmm1626,1
55,pmm1626,1
56,pmm1626,1
57,pmm1626,1
58,pmm1626,1
59,pmm1626,1
60,pmm1626,1
63,pmm1626,1
64,pmm1626,1
70,pmm1626,1
128,rowemi,1
134,rowemi,1
143,rowemi,2
160,rowemi,1
83,sebern,1
104,sebern,1
116,sebern,1
137,smitchel,1
150,smitchel,3
144,ssedighs,3
145,ssedighs,3
146,ssedighs,3
157,ssedighs,3
158,ssedighs,3
163,ssedighs,3
164,ssedighs,3
165,ssedighs,3
149,suri,4
129,SusanLincke,1
149,SusanLincke,2
59,testaccount,2
78,thilburn,1
84,thilburn,1
86,thilburn,1
87,thilburn,1
91,thilburn,1
106,thilburn,1
110,thilburn,1
115,thilburn,1
125,thilburn,1
150,tomhorton,1
122,towhid,1
143,towhid,1
153,vanhilst,4
159,wallace,2
189,wellington,1
