"ModuleID","Rating","NumRatings","ThreadID"
"58","3.3999998569488525","30","12"
"59","4","4","28"
"66","0","0","45"
"78","0","0","49"
"79","0","0","50"
"80","0","0","51"
"82","0","0","53"
"83","0","0","52"
"84","0","0","54"
"85","0","0","55"
"86","0","0","56"
"87","0","0","57"
"91","0","0","58"
"104","0","0","61"
"106","0","0","64"
"109","0","0","62"
"110","0","0","65"
"111","0","0","63"
"115","0","0","66"
"122","0","0","70"
"123","0","0","73"
"125","0","0","71"
"127","0","0","72"
"128","0","0","75"
"129","0","0","74"
"130","0","0","76"
"131","0","0","77"
"133","0","0","79"
"134","0","0","80"
"135","0","0","81"
"136","0","0","82"
"137","0","0","83"
"138","0","0","84"
"139","0","0","85"
"142","0","0","86"
"143","0","0","91"
"144","0","0","87"
"145","0","0","88"
"146","0","0","89"
"147","0","0","90"
"148","0","0","93"
"149","0","0","98"
"150","0","0","92"
"151","0","0","94"
"157","0","0","96"
"158","0","0","97"
"159","0","0","99"
"161","0","0","100"
"162","0","0","101"
"163","0","0","102"
"164","0","0","103"
"165","0","0","104"
"166","0","0","105"
"176","0","0","106"
"177","0","0","108"
"189","0","0","109"
